"name","short_url","original_url"
"Finical Inc","https://serp.ly/finical-inc","https://finicalinc.com/"
"Huntington Merchant Services","https://serp.ly/huntington-merchant-services","https://www.huntington.com/Commercial/receivables-management/merchant-services"
"SecurePay","https://serp.ly/securepay-2","https://serp.ly/@merchantalternatives/securepay"
"PAAY","https://serp.ly/paay","https://www.paay.co/"
"MOTO Merchant","https://serp.ly/moto-merchant","https://www.motomerchantaccount.com/"
"Beyond POS","https://serp.ly/beyond-pos","https://www.getbeyond.com/pos-solutions/"
"Google Wallet","https://serp.ly/google-wallet","https://pay.google.com/gp/w/u/0/home/signup?sctid=7100882854231917"
"coastal acquiring","https://serp.ly/coastalacquiring","https://www.coastalacquiring.com/"
"High Risk Holdings","https://serp.ly/high-risk-holdings","https://www.highriskholdings.com/"
"1st National Processing","https://serp.ly/1st-national-processing","http://www.1stnationalprocessing.net/"
"Kickfin","https://serp.ly/kickfin","https://www.kickfin.com/"
"National Debit Card Network","https://serp.ly/national-debit-card-network","http://www.nationaldebitcardnetwork.com/"
"Google Pay","https://serp.ly/google-pay","https://pay.google.com/gp/w/u/0/home/signup?sctid=3378825196893825"
"Dwolla","https://serp.ly/dwolla","https://www.dwolla.com/"
"CDG Commerce","https://serp.ly/cdgcommerce","https://www.cdgcommerce.com/getcdg/cdgcommerce-merchant-alternatives/"
"Guardian Financial","https://serp.ly/guardian-financial","https://www.smallbizguardian.com/"
"Xenex Payment Systems","https://serp.ly/xenex-payment-systems","https://xenexpayments.com/"
"XCharge","https://serp.ly/xcharge","http://www.x-charge.com/"
"Wells Fargo Merchant Services","https://serp.ly/wells-fargo-merchant-services","https://www.wellsfargo.com/biz/"
"Wholesale Payments","https://serp.ly/wholesale-payments","https://www.wholesalepayments.net/"
"WePay","https://serp.ly/wepay","https://go.wepay.com/"
"WEX","https://serp.ly/wex","http://www.wexinc.com/"
"Workwell Technologies","https://serp.ly/workwell-technologies","https://workwelltech.com/"
"Volusion","https://serp.ly/volusion","http://www.volusion.com/"
"WorldPay","https://serp.ly/worldpay","https://online.worldpay.com/"
"TAPLocal Now","https://serp.ly/taplocal-now","http://www.taplocalnow.com/"
"Vanco Payment Solutions","https://serp.ly/vanco-payment-solutions","http://www.vancopayments.com/"
"Upserve","https://serp.ly/upserve","https://upserve.com/"
"USAePay","https://serp.ly/usaepay","http://www.usaepay.com/"
"VizyPay","https://serp.ly/vizypay","https://www.vizypay.com/"
"United Merchant Services","https://serp.ly/united-merchant-services","http://www.unitedmerchant.com/"
"Tru Blu Pay","https://serp.ly/tru-blu-pay","https://trublupay.com/"
"Velocity Merchant Services","https://serp.ly/velocity-merchant-services","https://www.getvms.com/"
"VersaPay","https://serp.ly/versapay","https://www.versapay.com/"
"TSYS Merchant Solutions","https://serp.ly/tsys-merchant-solutions","https://www.tsys.com/"
"Valued Merchant Services","https://serp.ly/valued-merchant-services","http://www.valuedmerchants.com/"
"TransPay Processing","https://serp.ly/transpay-processing","http://transpayprocessing.net/"
"US Card Systems","https://serp.ly/us-card-systems","http://uscardsystems.com/"
"Verotel","https://serp.ly/verotel","https://www.verotel.com/en/index.html"
"Turnkey Processing","https://serp.ly/turnkey-processing","https://www.processwithturnkey.com/"
"United Card Solutions","https://serp.ly/united-card-solutions","https://unitedcardsolutions.com/"
"USPAY Group","https://serp.ly/uspay-group","https://www.uspaygroup.com/"
